,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
2161,2161,22,18,20.19576601,6.66664,2.218410749,0.33423161,0.885091477,0.535569828,0.112469191,2.5269773,7.532148,4.662662903,3.02937702,3.000192267,2.962388301,4.687661997,0.833099822
1405,1405,12,2,20.19315534,7.999968,1.148742239,0.427045715,1.290086036,0.901157445,0.147122322,1.1556554,6.201112,3.355245735,2.524154514,2.459367282,2.461119036,3.71163241,0.833888981
1906,1906,80,12,20.19164135,5.999976,2.24413005,0.296693461,0.719885451,0.530306945,0.129385016,2.150559,8.334626,4.689613469,3.365287019,3.289783782,3.34338742,5.099304998,0.82316505
1116,1116,13,6,20.18033433,6.499974,1.783948434,0.426666694,1.047993117,0.99511521,0.15032084,1.1072786,6.202306,4.181231236,3.104679238,3.013256133,2.944416225,4.674030017,0.840979241
3299,3299,14,4,20.16195723,7.999968,2.289260093,0.403781292,1.237156218,1.120267294,0.156091935,1.0841297,6.466417,4.736533427,2.520254734,2.475502722,2.728438317,4.321174431,0.812447126
2392,2392,74,6,20.15191862,5.333312,1.693246907,0.282108445,0.613634899,0.468764469,0.132932216,2.1384323,8.691344,4.073551238,3.778499855,3.85128311,4.174235811,5.882019769,0.901201934
1920,1920,73,3,20.15142391,7.666636,1.322648478,0.252937942,0.802060537,0.727417441,0.165174783,1.5447562,9.558675,3.600271529,2.628457111,2.575751918,2.777236403,3.949426765,0.893592005
2909,2909,21,32,20.14614043,7.49997,2.632230489,0.338379589,1.007713337,0.617019258,0.111073199,2.5528471,7.442563,5.078962373,2.686162801,2.555897658,2.761736815,3.485870077,0.978836674
1763,1763,67,9,20.13253008,5.666644,0.651587314,0.275951056,0.640097976,0.57758485,0.160965563,1.4895532,8.852776,2.526965705,3.552813637,3.391342004,3.47540398,4.948945419,0.770684304
2440,2440,74,15,20.10590069,5.499978,1.309812236,0.281464236,0.63281099,0.415267975,0.132932216,2.1384323,8.691344,3.582758702,3.65563293,3.521216562,3.600085116,5.282774634,0.829956042
3181,3181,20,37,20.10483498,6.833306,4.256714544,0.333231529,0.908402933,0.71064554,0.109169979,2.6779573,7.5223293,6.45877717,2.942182742,2.897841378,3.062460955,4.869435718,0.679889636
98,98,78,17,20.0955075,5.999976,3.39704617,0.295280882,0.719885451,0.728539956,0.129385016,2.150559,8.334626,5.769839899,3.349264648,3.288206059,3.343129673,5.387420541,0.608795099
743,743,72,6,20.0820384,7.166638,2.33248975,0.252067025,0.749752241,0.885820942,0.165174783,1.5447562,9.558675,4.781045864,2.802156101,2.781452273,2.718784081,4.699858532,0.692948994
1234,1234,76,14,20.0552209,6.833306,2.577138848,0.298185247,0.828220285,0.55555021,0.12979822,2.1118326,8.25059,5.025530889,2.934922116,2.741418967,2.887332853,4.00706649,0.907687236
3008,3008,20,1,20.05171916,6.999972,2.370462975,0.33235115,0.930559102,0.413479772,0.109169979,2.6779573,7.5223293,4.819806755,2.864542767,2.867546284,2.87299684,4.752011073,0.777658081
3682,3682,4,3,20.04800233,8.166634,2.31864466,0.240121885,0.819375451,1.845069058,0.293282449,0.51347923,9.966901,4.766835184,2.454867247,2.417454904,2.198877058,4.196822729,0.482207096
1417,1417,12,6,20.04221119,5.333312,1.455855174,0.423853542,0.860057357,0.9681799,0.147122322,1.1556554,6.201112,3.777218646,3.757929631,3.569331374,3.900674206,5.539216454,0.574819872
127,127,78,21,20.0329474,9.333296,1.351706366,0.294361632,1.119821813,0.366898988,0.129385016,2.150559,8.334626,3.639604702,2.146395807,2.131341012,2.300532137,3.506819143,0.532661587
1413,1413,12,5,20.02034191,8.166634,1.966576048,0.423391049,1.316962829,1.080226848,0.147122322,1.1556554,6.201112,4.390039324,2.451480244,2.401635785,2.400475293,3.695475207,0.626279545
481,481,38,7,20.0071944,11.833286,0.532327851,0.305540488,1.467445309,1.096464988,0.201234266,0.85539997,8.0638685,2.284034356,1.690755586,1.651305496,1.456912673,2.878259767,0.631840999
6,6,78,1,19.98907551,9.833294,3.338105833,0.293716984,1.179812268,0.729312112,0.129385016,2.150559,8.334626,5.719566169,2.032795471,2.028589479,1.710376186,3.501119333,0.886816656
1026,1026,17,4,19.98645564,8.666632,1.217068422,0.330202008,1.148925235,1.061809523,0.16800555,1.1343955,7.5432515,3.453588067,2.306138721,2.254869566,2.511946823,3.622191742,0.646972155
579,579,69,14,19.97611543,7.666636,0.55362456,0.254736324,0.813395187,0.593309049,0.162591463,1.5692074,9.425475,2.329274712,2.605590696,2.568014091,2.486649602,4.217157929,0.667676617
1080,1080,42,10,19.96893216,10.333292,1.827027384,0.451533809,1.751495077,0.711958657,0.135855321,1.2675554,5.899698,4.231414464,1.932485036,1.852797622,1.870530461,2.592949021,0.858617389
1774,1774,67,14,19.95995665,8.166634,1.374490375,0.27358564,0.922494142,0.685378625,0.160965563,1.4895532,8.852776,3.670150634,2.444086101,2.343912963,2.516357527,3.29462445,0.875626757
290,290,18,3,19.94791258,8.833298,2.04173746,0.312141972,1.118319136,0.941818288,0.175101151,1.1026126,7.8987274,4.473145103,2.258263287,2.215015551,2.457881511,3.292383373,0.690996599
441,441,8,4,19.92781384,9.833294,1.890169571,0.430291285,1.61035342,1.089782272,0.140337118,1.2439636,6.1062956,4.303912383,2.026565446,1.975147939,2.224258361,3.001009438,0.74198521
53,53,78,9,19.91941629,7.333304,1.81637299,0.29269342,0.879859996,0.469472128,0.129385016,2.150559,8.334626,4.21905858,2.716294904,2.601364271,2.723412302,3.895334598,0.946654023
164,164,39,6,19.88233016,15.499938,1.797251931,0.304838382,1.928643633,1.824993035,0.242908129,0.5847486,8.036704,4.196792695,1.282736109,1.271063669,1.08564365,2.606031201,0.457448805
616,616,3,3,19.87708015,12.166618,1.822744348,0.234895521,1.206055268,1.472802631,0.287608394,0.5411659,10.087944,4.226451776,1.63373915,1.631723193,1.579933177,2.615468584,0.838749699
1228,1228,76,13,19.87400973,4.333316,2.497678862,0.295490961,0.525212864,0.562874668,0.12979822,2.1118326,8.25059,4.947449125,4.586328283,4.317006586,4.795296396,6.166469653,0.906421628
1231,1231,76,13,19.86339927,6.333308,1.566584505,0.295333202,0.767618801,0.384329579,0.12979822,2.1118326,8.25059,3.918230232,3.136338746,3.038041921,3.054090229,5.094065187,0.432327888
1540,1540,26,18,19.84155204,9.499962,2.263981513,0.343034638,1.307391554,0.747378215,0.124572287,1.9717437,7.266348,4.710309845,2.088592779,2.156010443,1.827108821,4.019925859,0.583586145
3132,3132,20,27,19.81457623,6.999972,4.46064325,0.328420578,0.930559102,0.482405409,0.109169979,2.6779573,7.5223293,6.611679352,2.83066507,2.723349957,2.780035177,3.93649099,0.862027482
1838,1838,80,0,19.80672508,7.666636,1.549562328,0.29103755,0.919853632,0.490907439,0.129385016,2.150559,8.334626,3.896884758,2.583496215,2.538115437,2.654194749,3.555169086,0.85652315
1743,1743,67,5,19.78381222,5.83331,0.616244433,0.271171276,0.658924387,0.58099163,0.160965563,1.4895532,8.852776,2.457477456,3.391524232,3.268113045,3.380188872,4.93030231,0.679310877
2899,2899,21,30,19.78325631,6.499974,1.91050461,0.332284497,0.873351559,0.456563128,0.111073199,2.5528471,7.442563,4.327001869,3.043590069,3.020389784,2.866975746,4.889418462,0.57822289
1630,1630,77,7,19.77179382,5.166646,2.826088738,0.293971193,0.626215337,0.613066214,0.12979822,2.1118326,8.25059,5.262667539,3.826814111,3.771476802,4.222617975,5.144583243,0.777394618
425,425,28,10,19.75658123,9.333296,2.452229079,0.299675911,1.150749933,0.913560971,0.159366763,1.3731568,8.1106205,4.902228573,2.116785027,2.133280125,1.63270883,4.055525563,0.59932417
3469,3469,75,18,19.75052089,5.333312,2.654500015,0.280712912,0.621767708,0.548330627,0.131080441,2.1661875,8.57766,5.100401959,3.703237481,3.580874471,3.720581492,4.978498335,0.937841381
2812,2812,21,17,19.73641946,12.333284,2.57521875,0.331497814,1.657128599,0.584694297,0.111073199,2.5528471,7.442563,5.023658403,1.600256627,1.545953448,1.322526873,2.744521762,0.750707342
3599,3599,24,18,19.73535606,5.999976,3.217915281,0.359863699,0.861869182,0.824207881,0.115793557,2.163684,6.9615855,5.615653992,3.289239167,3.223051861,3.298783636,5.048039528,0.653228469
3426,3426,75,11,19.72516391,6.333308,1.332057623,0.280352514,0.738349153,0.429127865,0.131080441,2.1661875,8.57766,3.613054761,3.114512023,3.072285251,2.902714842,4.956906211,0.69607334
1437,1437,12,14,19.71100055,6.833306,1.899196257,0.416849085,1.101948489,1.04385069,0.147122322,1.1556554,6.201112,4.314177015,2.884548204,2.880991092,2.732849133,5.115128927,0.701850224
1787,1787,67,18,19.70875194,6.66664,1.435749071,0.270142446,0.753056442,0.694806703,0.160965563,1.4895532,8.852776,3.751045307,2.956324617,2.848399492,2.856096321,4.5673283,0.8253002
824,824,72,22,19.7061175,5.83331,2.204216078,0.247348517,0.610263452,0.835005692,0.165174783,1.5447562,9.558675,4.647721761,3.378205084,3.309836642,3.379387303,5.401296169,0.58243832
723,723,72,3,19.64765804,5.999976,2.62329719,0.246614741,0.62769955,0.937328973,0.165174783,1.5447562,9.558675,5.070336523,3.274622772,3.253583514,3.274623897,5.526777721,0.473497394
151,151,29,3,19.63720913,6.833306,1.770117442,0.314160173,0.881054634,1.100172431,0.174012361,1.0920037,7.7558255,4.164991108,2.873749417,2.770277045,2.987182144,4.540683345,0.884483646
3643,3643,24,24,19.60017423,8.666632,2.800334093,0.357398731,1.244922152,0.684532747,0.115793557,2.163684,6.9615855,5.238632847,2.261567612,2.251666374,2.265408367,3.779168662,0.699378217
1250,1250,76,17,19.59812039,7.333304,4.343085665,0.29138898,0.888821769,0.807482542,0.12979822,2.1118326,8.25059,6.523974212,2.672481652,2.565982238,2.525687782,3.851281297,0.895043475
3369,3369,75,2,19.5904924,12.833282,1.73630852,0.278438437,1.496128548,0.483721477,0.131080441,2.1661875,8.57766,4.12502406,1.526537981,1.530764113,1.533467139,2.479362881,0.973031518
2129,2129,22,14,19.57158568,6.66664,2.215331151,0.323901683,0.885091477,0.52966565,0.112469191,2.5269773,7.532148,4.659425424,2.935749595,2.890550051,2.833512268,4.736043105,0.662380827
2094,2094,22,9,19.56996927,6.166642,2.135697044,0.323874932,0.818709616,0.503316825,0.112469191,2.5269773,7.532148,4.574913226,3.173521224,3.096484163,3.116501453,5.081886584,0.705427871
3373,3373,75,3,19.55059743,6.499974,3.270692407,0.277871412,0.757779394,0.665525882,0.131080441,2.1661875,8.57766,5.661517958,3.007796252,2.979507099,3.165739026,5.509435508,0.722640767
537,537,69,6,19.49971834,6.499974,1.798418542,0.248661287,0.689617659,0.743088889,0.162591463,1.5692074,9.425475,4.198154561,2.999968668,3.00896161,2.911803121,4.759705306,0.780212142
1076,1076,42,9,19.48560833,7.833302,1.118804399,0.440604979,1.327746268,0.774335683,0.135855321,1.2675554,5.899698,3.311235888,2.487534417,2.391712018,2.64329205,3.067469082,0.958891989
3617,3617,24,20,19.47191409,4.833314,0.947427325,0.355059975,0.694283508,0.414187333,0.115793557,2.163684,6.9615855,3.047094975,4.028687995,3.425481992,3.88738766,4.925337776,0.833258252
1057,1057,42,2,19.45631748,7.333304,0.860269528,0.43994266,1.242996506,0.759514137,0.135855321,1.2675554,5.899698,2.903556677,2.653144814,2.584761343,2.559430503,4.07687444,0.709180203
2880,2880,21,26,19.44330015,8.833298,1.39444139,0.326574509,1.186862375,0.408290104,0.111073199,2.5528471,7.442563,3.696691172,2.201137124,2.097677762,2.271692916,3.184709137,0.927728157
2933,2933,21,36,19.4401177,12.333284,2.319673719,0.326521056,1.657128599,0.483110947,0.111073199,2.5528471,7.442563,4.767892873,1.576232064,1.572381457,1.346564895,2.862340522,0.762079454
3158,3158,20,33,19.43088816,6.999972,3.950215079,0.322061065,0.930559102,0.665492948,0.109169979,2.6779573,7.5223293,6.221905478,2.775852269,2.756196832,2.53583339,4.551259937,0.705764805
1797,1797,67,20,19.42427478,7.166638,1.4673629,0.266243196,0.809535676,0.68462541,0.160965563,1.4895532,8.852776,3.792117669,2.710374764,2.68605293,2.673512209,4.382138798,0.76680265
1366,1366,37,2,19.39941455,9.16663,1.818943443,0.289757272,1.115394785,1.134668893,0.204209803,0.8492915,8.218283,4.22204284,2.116308235,2.047413845,2.111586503,3.155168053,0.713370468
283,283,19,15,19.39619542,7.49997,2.134009537,0.302071207,0.945701272,0.971031715,0.169648389,1.1802212,7.930591,4.573105451,2.586169734,2.517020002,2.53528366,4.094214364,0.572915379
114,114,78,19,19.36993798,10.333292,1.939062066,0.284619454,1.239802722,0.519542736,0.129385016,2.150559,8.334626,4.359221059,1.874517625,1.863658784,1.879748904,2.830672082,0.872072996
1644,1644,77,9,19.3672658,4.99998,3.254835282,0.287956585,0.606014843,0.705335245,0.12979822,2.1118326,8.25059,5.647777064,3.873468654,3.743281885,4.01257776,5.960236767,0.658433456
2374,2374,74,2,19.35885262,6.499974,2.421896138,0.271006246,0.747867533,0.524580396,0.132932216,2.1384323,8.691344,4.871815078,2.978296932,2.906254179,2.956327339,4.443036407,0.807744969
11,11,78,1,19.34745977,11.499954,1.486399458,0.284289162,1.379780448,0.488131201,0.129385016,2.150559,8.334626,3.816636568,1.682394536,1.660723753,1.916419438,2.766431612,0.94039667
225,225,68,12,19.34719956,4.99998,0.848658383,0.257480167,0.550820621,0.656953458,0.163885709,1.4799527,9.077329,2.883895309,3.869455389,3.580078156,3.821325598,5.354726946,0.791013618
2884,2884,21,27,19.34018398,7.333304,2.524536555,0.324842544,0.985319708,0.523004393,0.111073199,2.5528471,7.442563,4.97397811,2.637308365,2.570368839,2.333799444,4.462628235,0.624996411
1771,1771,67,13,19.33731567,5.499978,0.795342678,0.265051271,0.621271565,0.61292468,0.160965563,1.4895532,8.852776,2.79183779,3.515889641,3.357338473,3.560394681,4.88179346,0.85332569
3574,3574,24,14,19.33639554,5.166646,3.459100086,0.352588867,0.742165129,0.813884698,0.115793557,2.163684,6.9615855,5.822300305,3.74254314,3.551077803,3.774005342,5.407402861,0.868545488
1720,1720,67,1,19.33149457,10.499958,1.321236074,0.264971483,1.186063897,0.66062105,0.160965563,1.4895532,8.852776,3.598348723,1.841102085,1.826973089,1.984644353,2.798083505,0.899798801
327,327,79,0,19.32649103,6.66664,2.932843304,0.28398105,0.799872724,0.644630541,0.129385016,2.150559,8.334626,5.361143943,2.898985251,2.844384518,2.768156901,4.546080009,0.656776564
1354,1354,66,15,19.31956666,7.333304,1.284704136,0.260734558,0.817195952,0.677402207,0.161581125,1.5013198,8.97374,3.548253166,2.634496901,2.548727189,2.555281819,3.423775173,0.936668212
651,651,81,5,19.31240608,6.66664,2.503487985,0.283798885,0.799932805,0.546236183,0.130197266,2.123624,8.334,4.953199193,2.8968725,2.825433684,2.88303183,4.384614893,0.777668585
1602,1602,77,1,19.31138862,5.166646,2.719531932,0.287125792,0.626215337,0.593905517,0.12979822,2.1118326,8.25059,5.162500648,3.737703071,3.583903577,3.71562501,5.259970505,0.946635692
3303,3303,14,6,19.30374761,6.999972,3.744326415,0.386594022,1.082511691,1.463873224,0.156091935,1.0841297,6.466417,6.057590186,2.75768926,2.716247286,2.371440149,4.344262024,0.668849178
3661,3661,24,27,19.2906864,7.333304,2.87019393,0.351755385,1.053395667,0.71874853,0.115793557,2.163684,6.9615855,5.303574315,2.630558668,2.548627161,2.491869883,3.701165042,0.899544591
1431,1431,12,11,19.28947463,5.499978,1.569307821,0.407934637,0.88693415,1.01242167,0.147122322,1.1556554,6.201112,3.921634436,3.507191234,3.351911007,3.694515444,5.20723818,0.650352233
2543,2543,25,9,19.27606392,6.66664,3.030956227,0.340722754,0.933828376,0.777615771,0.117715552,2.1597586,7.139042,5.45007991,2.891421153,2.926193016,2.729669414,5.66475121,0.541007722
2322,2322,32,5,19.26436138,16.499934,0.98769999,0.314029231,2.161981547,1.150533903,0.172758481,1.0873302,7.631857,3.111183038,1.167541723,1.19069062,1.405142846,2.71649742,0.700851149
312,312,18,14,19.25373323,7.333304,1.929698346,0.301279557,0.928415886,1.072947614,0.175101151,1.1026126,7.8987274,4.348682995,2.625519579,2.548995533,2.393842298,4.143737383,0.806688246
804,804,72,18,19.24919079,14.16661,1.437730239,0.241613234,1.482068383,0.672037147,0.165174783,1.5447562,9.558675,3.753632419,1.358771844,1.361602834,1.380785261,2.246786671,0.931342171
3169,3169,20,34,19.24093693,6.499974,3.701367019,0.318912681,0.864090595,0.642803518,0.109169979,2.6779573,7.5223293,6.022739973,2.960155983,2.911503244,2.942846585,4.278439934,0.883750478
3376,3376,75,3,19.2368263,8.166634,1.541789265,0.273411803,0.952081803,0.469850835,0.131080441,2.1661875,8.57766,3.887098506,2.355539173,2.382932817,2.239702673,3.412249561,0.943154432
2579,2579,25,15,19.23013776,5.83331,3.357675754,0.339910966,0.817099829,0.88456949,0.117715552,2.1597586,7.139042,5.736307382,3.296608231,3.150075779,3.284547423,4.864009958,0.647385716
872,872,23,5,19.22163326,6.999972,1.358168082,0.318945986,0.931446588,0.433399813,0.114922357,2.4139028,7.515162,3.648293738,2.745958592,2.682656489,2.697425702,4.349281426,0.806691297
1087,1087,42,15,19.17686083,4.99998,2.015209893,0.433623638,0.847497618,0.991824345,0.135855321,1.2675554,5.899698,4.443991107,3.835387508,3.650059612,4.033360987,5.607747314,0.850548106
1705,1705,77,19,19.1765153,5.83331,1.360419407,0.285120467,0.707017316,0.426799689,0.12979822,2.1118326,8.25059,3.651316227,3.287415772,3.140459447,3.258016112,4.578461007,0.915372554
2369,2369,74,1,19.14529533,17.333264,3.115247671,0.268016639,1.994313423,0.646135713,0.132932216,2.1384323,8.691344,5.525344078,1.104540687,1.104769243,1.15438798,2.761835552,0.805605492
3612,3612,24,20,19.13811359,4.666648,2.893507032,0.348973301,0.670342697,0.658034637,0.115793557,2.163684,6.9615855,5.325069851,4.101040746,3.331784265,3.56372316,5.242130063,0.780355733
3425,3425,75,11,19.13046273,8.499966,1.983060132,0.271900064,0.990942285,0.494699042,0.131080441,2.1661875,8.57766,4.408399856,2.250651677,2.261175356,2.145899117,3.573893065,0.890297686
90,90,78,15,19.10941991,6.166642,2.332280404,0.280791434,0.739882269,0.539499107,0.129385016,2.150559,8.334626,4.780831304,3.098837246,3.051325749,3.107814731,5.493445011,0.660073729
620,620,3,6,19.00985528,9.499962,2.145826251,0.224647172,0.941714387,1.738936089,0.287608394,0.5411659,10.087944,4.585749368,2.001045402,1.971675422,2.158815186,3.266971141,0.47423452
254,254,19,1,18.99263112,8.166634,2.159543951,0.295786204,1.029763608,1.007124018,0.169648389,1.1802212,7.930591,4.600383758,2.325637603,2.270364961,2.247024321,3.665088015,0.623930949
2919,2919,21,33,18.98346851,7.666636,2.44286711,0.318851062,1.030106967,0.575653656,0.111073199,2.5528471,7.442563,4.89286191,2.476114493,2.32644321,2.595014005,2.986793052,0.947894424
3663,3663,24,27,18.98337347,3.499986,0.813313667,0.346151698,0.502757023,0.408360564,0.115793557,2.163684,6.9615855,2.82320278,5.423842688,4.6368737,4.576379961,6.518854081,0.972209865
2725,2725,21,5,18.97699153,26.833226,2.294310008,0.318742273,3.605374385,0.516170897,0.111073199,2.5528471,7.442563,4.741754747,0.707219904,0.705272305,0.764269829,2.550681014,0.789005153
192,192,68,3,18.96917026,7.49997,0.872350248,0.252449204,0.826230932,0.645523243,0.163885709,1.4799527,9.077329,2.923872849,2.529232818,2.476916678,2.373904022,3.891965414,0.733317933
1155,1155,76,1,18.96279637,6.999972,3.598369383,0.281942849,0.84842078,0.658686134,0.12979822,2.1118326,8.25059,5.938351619,2.708981746,2.658620769,2.434633067,4.586068347,0.716602954
1637,1637,77,8,18.95352156,5.499978,4.155891563,0.281804949,0.666616327,0.716545995,0.12979822,2.1118326,8.25059,6.381828681,3.446108613,3.304962792,3.60395815,5.080361473,0.786742673
2350,2350,40,2,18.92749357,18.833258,0.875488885,0.287939052,2.32784072,1.288276355,0.239308338,0.6072011,8.090441,2.92912804,1.005003678,1.008222005,1.163237082,1.629183306,0.795504779
3383,3383,75,5,18.90367868,5.166646,2.792673245,0.268676796,0.602337467,0.565265407,0.131080441,2.1661875,8.57766,5.2314623,3.658791154,3.448581106,3.574842002,4.970315931,0.901408594
3486,3486,24,1,18.90161259,14.666608,0.927987507,0.344660831,2.106791334,0.435305187,0.115793557,2.163684,6.9615855,3.015671993,1.288751468,1.292909962,1.193548333,2.334493863,0.835527468
103,103,78,18,18.89601516,10.333292,3.533113203,0.277655691,1.239802722,0.777310315,0.129385016,2.150559,8.334626,5.88425946,1.828653943,1.823120111,2.314073085,3.503055318,0.819614774
2090,2090,22,8,18.89083466,5.499978,0.582856514,0.312635534,0.730200469,0.398666847,0.112469191,2.5269773,7.532148,2.389977791,3.434710949,3.3451203,3.250612364,5.397222349,0.781783913
371,371,79,6,18.88654022,6.166642,1.150088273,0.277516468,0.739882269,0.424159312,0.129385016,2.150559,8.334626,3.357210907,3.062694449,3.000993672,3.061291202,4.546604661,0.934591201
950,950,23,15,18.88192952,7.166638,1.236084755,0.313309256,0.953623887,0.436903005,0.114922357,2.4139028,7.515162,3.480464136,2.634698379,2.482164699,2.613411045,3.918117706,0.800354134
3677,3677,24,30,18.86288825,9.499962,3.177840622,0.343954714,1.364626205,0.788682833,0.115793557,2.163684,6.9615855,5.58057686,1.985575126,1.951505592,1.724279278,3.598375021,0.758398371
1086,1086,42,13,18.83978133,7.666636,1.081144046,0.426001658,1.299496347,0.711934889,0.135855321,1.2675554,5.899698,3.255028672,2.457372611,2.454215654,2.596145054,3.601964142,0.887027139
1939,1939,73,7,18.83196685,13.499946,0.918050217,0.236376296,1.412323988,0.675512969,0.165174783,1.5447562,9.558675,2.999481976,1.394966087,1.405793317,1.574658738,2.281078817,0.88895105
1389,1389,43,6,18.82088909,5.666644,2.34157507,0.424489002,0.958684319,1.13332965,0.145954782,1.1010137,5.910855,4.79034818,3.321346655,3.228181197,3.355088537,4.698216776,0.811021293
621,621,3,7,18.81880693,6.999972,2.133505791,0.222389477,0.693894811,1.877915139,0.287608394,0.5411659,10.087944,4.572565664,2.688411744,2.605235628,2.72320927,4.016858235,0.591880582
379,379,79,8,18.81301707,7.999968,3.240417738,0.276436128,0.959847268,0.727067061,0.129385016,2.150559,8.334626,5.635254549,2.351636541,2.486797255,2.380491663,3.982946522,0.729921321
3062,3062,20,12,18.81188523,6.833306,3.625492482,0.31180128,0.908402933,0.633924272,0.109169979,2.6779573,7.5223293,5.960690088,2.752969826,2.783185469,2.83741902,4.363557658,0.854466296
3102,3102,20,19,18.80611444,7.49997,3.480902084,0.31170563,0.99702761,0.520066818,0.109169979,2.6779573,7.5223293,5.840619866,2.507491955,2.523878047,2.377992563,4.357333106,0.645253423
896,896,23,9,18.80545047,7.333304,2.512497769,0.312040234,0.975801187,0.580578493,0.114922357,2.4139028,7.515162,4.962104204,2.564389867,2.505326849,2.323908455,3.575301505,0.895712162
3618,3618,24,21,18.79908719,5.499978,4.264761644,0.342791335,0.79004675,1.009762346,0.115793557,2.163684,6.9615855,6.464879281,3.418029525,3.186483918,3.524901248,5.095500689,0.545465787
3206,3206,71,3,18.78529199,7.999968,1.132051336,0.240432917,0.851525594,0.67246473,0.163134115,1.5530667,9.394865,3.330781153,2.348170891,2.277262797,2.490341012,3.355472577,0.869252648
184,184,68,2,18.76042977,6.499974,1.167188759,0.249671203,0.716066808,0.734772416,0.163885709,1.4799527,9.077329,3.382077739,2.886231509,2.847156017,2.760072425,3.751620917,0.97430649
807,807,72,19,18.73050618,7.999968,2.246143217,0.235102776,0.836932734,0.852249695,0.165174783,1.5447562,9.558675,4.69171648,2.341322638,2.354667391,2.096021463,4.195953547,0.673901327
3176,3176,20,36,18.72303118,5.333312,3.904509698,0.310328551,0.708997411,0.666663743,0.109169979,2.6779573,7.5223293,6.185805933,3.510582389,3.299085847,3.558185303,5.078366263,0.690689248
3246,3246,71,14,18.70841718,5.166646,0.777043462,0.239448996,0.549943613,0.667451657,0.163134115,1.5530667,9.394865,2.759533644,3.620998454,3.413640368,3.451044091,4.67431162,0.886027558
1323,1323,66,9,18.70696206,6.999972,1.15998279,0.25246692,0.780050681,0.691070513,0.161581125,1.5013198,8.97374,3.371621471,2.672433841,2.629486874,2.632110894,4.28610571,0.87790979
954,954,23,16,18.67968302,8.666632,2.068962205,0.309953365,1.153219585,0.529927838,0.114922357,2.4139028,7.515162,4.502869042,2.155356662,2.177780768,2.003320741,3.579062283,0.714459779
156,156,29,5,18.66340219,7.333304,1.870123461,0.298581007,0.945522047,1.000150031,0.174012361,1.0920037,7.7558255,4.281029072,2.545019569,2.538513981,2.244769545,4.538405919,0.48471243
471,471,38,5,18.66294419,6.999972,0.616275633,0.285011729,0.868066239,1.149428168,0.201234266,0.85539997,8.0638685,2.457539664,2.666145549,2.587955566,2.806868598,3.809798297,0.800342882
108,108,78,18,18.66282306,5.166646,1.433767594,0.274229196,0.619901361,0.42614309,0.129385016,2.150559,8.334626,3.748456005,3.61217375,3.498882426,3.572167866,5.397051292,0.836706859
3417,3417,75,10,18.65350956,4.99998,3.141969867,0.265121158,0.582907226,0.628964913,0.131080441,2.1661875,8.57766,5.548991322,3.730716835,3.634139739,3.991598008,5.313195977,0.835316468
1968,1968,73,14,18.62198207,4.499982,0.936669595,0.233740596,0.470774663,0.670616639,0.165174783,1.5447562,9.558675,3.029746199,4.138234791,3.954528568,4.282689821,5.272610482,0.92635296
1409,1409,12,4,18.59943892,7.166638,1.925410569,0.393341732,1.155702074,1.087608125,0.147122322,1.1556554,6.201112,4.343848936,2.595280927,2.600375494,2.419866683,4.32277705,0.714824381
2428,2428,74,13,18.59202061,6.333308,2.666167029,0.260271299,0.728691443,0.540598022,0.132932216,2.1384323,8.691344,5.111598271,2.935593944,2.877736113,2.872617466,4.276222263,0.894414245
1618,1618,77,4,18.58592598,5.166646,1.248142857,0.27633946,0.626215337,0.412130022,0.12979822,2.1118326,8.25059,3.497399033,3.597290384,3.391026041,3.536517448,4.641923353,0.950619714
385,385,79,10,18.58199052,5.666644,3.551784157,0.273041452,0.679891815,0.786946265,0.129385016,2.150559,8.334626,5.899786838,3.279187914,3.146548752,3.257830697,5.248791735,0.665479098
1063,1063,42,3,18.57454843,9.99996,0.847376578,0.420004261,1.694995235,0.762054049,0.135855321,1.2675554,5.899698,2.881716583,1.857462273,1.817683333,1.766901853,2.595534276,0.927674736
2403,2403,74,8,18.55610584,6.166642,1.257775639,0.259768525,0.709515352,0.388252563,0.132932216,2.1384323,8.691344,3.510869018,3.009110281,2.810467643,2.86500392,4.245572023,0.916686689
1325,1325,66,10,18.55450541,6.166642,2.774816391,0.250409383,0.687187505,0.896015667,0.161581125,1.5013198,8.97374,5.214710024,3.00885075,2.926745369,3.022194968,4.712443252,0.641972985
2886,2886,21,28,18.54499444,7.49997,3.090892451,0.311486343,1.007713337,0.466694286,0.111073199,2.5528471,7.442563,5.503702937,2.472675815,2.401327098,2.493425812,3.993112637,0.697035619
3258,3258,71,17,18.53920474,5.999976,0.917076344,0.237283246,0.638644196,0.656266517,0.163134115,1.5530667,9.394865,2.997890621,3.089879816,2.785761719,3.074724133,4.589499416,0.819901157
1428,1428,12,10,18.53165847,6.66664,1.536996933,0.391908308,1.075071697,0.996933059,0.147122322,1.1556554,6.201112,3.881052685,2.77975989,2.74054054,2.624243012,4.377276078,0.749891375
209,209,68,7,18.52161059,6.999972,1.308560995,0.246492903,0.77114887,0.71815648,0.163885709,1.4799527,9.077329,3.581047019,2.645954954,2.607594927,2.624034184,4.330183783,0.718406832
